infobox_type	proposed_category	count	was_included	include_in_future
religious_text	other	344	1	0
bodybuilder	person	341	1	1
bone	other	341	0	0
telescope	artifact	341	0	0
named_horse	other	341	1	0
fire_department	other	340	1	1
cricket_series	other	340	0	0
economy	other	339	1	0
college_baseball_team	place	339	0	0
railway_depot	other	337	0	0
font	other	336	1	0
military_operation	event	335	1	0
mandir	other	335	1	0
artery	other	333	0	0
roller_derby_league	other	332	0	0
minister	person	331	1	0
nerve	other	330	0	0
photographic_lens	other	330	0	0
theatre_group	other	325	0	0
lgbt_rights	other	325	0	0
aviator	person	324	1	0
toy	other	321	0	0
cycling_team_season	other	319	0	0
national_military	pol_mil_organization	318	0	0
amateur_wrestler	person	317	1	0
lunar_eclipse	other	317	0	0
motor_racing_team	other	316	1	0
v8_supercar_race_report	other	316	0	0
basketball_game	other	315	0	0
dot-com_company	business	314	0	0
fictional_location	other	313	1	0
road/browselinks/usa	place	313	0	0
film_or_theatre_festival	other	311	0	0
ghana_constituency	pol_mil_organization	311	0	0
architectural_practice	other	310	1	0
ski_jumper	other	309	0	0
technology_standard	other	308	0	0
spy	person	308	1	0
road_junction	place	308	1	0
tropical_cyclone_season	event	308	0	0
college_soccer_team	place	308	0	0
synthesizer	artifact	307	0	0
war_on_terror_detainee	event	306	1	0
musician_awards	person	306	1	0
cycling_season	other	305	0	0
sailing_competition	other	305	1	0
theologian	person	304	1	0
radar	artifact	303	0	0
basketball_tournament_season	other	303	0	0
weather_event/tornado_outbreak	event	301	0	0
mexican_federal_electoral_district	other	300	0	0
united_states_legislative_district	other	300	0	0
horse_breed	other	299	0	0
government_budget	pol_mil_organization	298	0	0
united_states_district_court_case	other	298	1	0
ncaa_ice_hockey_conference_tournament	other	298	0	0
tibetan_buddhist_monastery	place	297	0	0
rugby_league_season	other	297	0	0
exchange	other	296	0	0
windstorm_small	event	296	0	0
journalist	person	295	1	0
shogi_professional	other	295	1	1
island	place	294	1	1
muscle	other	293	0	0
tennis_cup_team	other	293	0	0
law_school	place	291	0	0
engineering_career	other	289	1	1
crater_data	other	288	0	0
basketball_league	other	287	0	0
convention_center	other	284	0	0
coa_case	other	283	0	0
ncaa_football_school	place	283	0	0
dance	other	282	0	0
castrum	other	282	1	0
england_and_wales_ward	other	279	0	0
royal_styles	other	278	1	1
housing_project	other	278	0	0
guitar_model	person	277	1	0
lacrosse_team_season	other	277	0	0
wrestling_promotion	other	276	0	0
painting	artifact	274	1	0
art_movement	concepts	269	0	0
open_cluster	other	269	0	0
egyptian_tomb	other	267	0	0
unit	other	266	0	0
field_hockey_club	other	266	0	0
vehicle_registration_plate	other	265	0	0
manuscript	other	262	1	0
go_player	person	262	1	0
clan	pol_mil_organization	260	0	0
station/header_gr	place	260	0	0
nascar_team	other	260	1	0
pirate	person	258	0	0
pipeline	other	257	0	0
pool_player	person	257	0	0
youtube_personality	other	256	1	1
russian_constituency	pol_mil_organization	256	0	0
wrestling_ppv_series	other	254	0	0
basketball_final_four	other	253	0	0
place_demographics	other	250	0	0
murderer	person	250	1	0
peer	other	249	1	1
central_committee_outline	other	248	0	0
vein	other	247	0	0
national_futsal_team	other	247	0	0
college_ice_hockey_team	place	247	0	0
bishop	person	244	1	0
continental_football	other	242	0	0
nhs_organisation	pol_mil_organization	241	0	0
dogbreed	other	240	0	0
radio_network	other	240	0	0
seamount	other	239	0	0
cape_verde_settlement	place	239	0	0
american_championship_car_race_report	other	238	0	0
world's_fair	other	237	0	0
station/header_cta	place	237	0	0
spring	other	235	1	0
cattle_breed	other	234	0	0
ballet	artifact	234	0	0
census	other	234	0	0
gaa_tournament	other	233	0	0
surfer	person	232	1	0
yacht_club	other	232	1	0
athletics_competition	other	232	0	0
storm	event	231	0	0
comics_meta_series	other	230	0	0
historical_era	historical_period	230	1	1
soldier	person	230	1	1
poultry_breed	other	230	0	0
motocross_rider	other	228	0	0
electric_vehicle	other	225	0	0
national_olympic_committee	other	223	0	0
caste	other	222	0	0
spacecraft_class	artifact	221	0	0
choir	other	220	0	0
equestrian	person	220	1	1
organization/wikidata	pol_mil_organization	219	0	0
national_rugby_team	other	219	0	0
ncaa_basketball_tournament	other	219	0	0
poet	person	218	1	0
historian	person	218	1	0
bach_composition	other	216	0	0
nba_biography	person	216	1	0
australian_rules_football_match	other	216	0	0
national_field_hockey_team	other	215	0	0
gaa_league	other	215	0	0
geopolitical_organization	pol_mil_organization	214	0	0
hockey_tournament_season	other	214	0	0
meteorite	other	210	0	0
gridiron_football_team_season	other	209	0	0
central_bank	other	208	0	0
cycling_path	other	208	0	0
concentration_camp	other	207	0	0
biography	person	207	1	1
team_golf_tournament	other	207	0	0
european_parliament_constituency	pol_mil_organization	207	0	0
politician_(general)	person	206	1	0
pro_gaming_player	person	206	1	0
u.s._courts_of_appeals_case	other	205	0	0
summit	other	205	0	0
leadership_election	event	204	0	0
gaa_championship_main	other	204	0	0
new_york_legislature	pol_mil_organization	204	0	0
constitution	other	203	0	0
kangxi_radical	other	202	0	0
geologic_timespan	historical_period	201	0	0
speedway_league_season	other	201	0	0
rocket_engine	other	200	0	0
football_derby	other	200	0	0
ice_hockey_game	other	200	0	0
law_enforcement_unit	pol_mil_organization	199	0	0
sheep_breed	other	199	0	0
motorcycle_speedway_team	artifact	199	0	0
terrestrial_impact_site	place	198	1	0
rugby_world_sevens	other	196	0	0
parapan_american_games_event	other	196	0	0
patriarch	person	195	1	0
power_transmission_line	other	195	0	0
itf_women's_circuit_tournament	other	194	0	0
medieval_text	other	193	0	0
gaelic_games_biography	person	193	1	0
video_game_player	person	192	1	1
polyhedron	other	190	0	0
tree	other	190	0	0
skyscraper	other	190	0	0
sport_wrestler	person	189	1	0
executive_government	pol_mil_organization	188	0	0
examination	other	188	0	0
port-of-entry	place	188	0	0
novel	artifact	187	0	0
launch_pad/pad	other	187	1	0
embryology	other	186	0	0
heritage_railway	other	186	0	0
place	other	186	0	0
banknote	artifact	186	0	0
aircraft_accident	event	185	1	0
proto-language	concepts	184	0	0
country_telephone_plan	pol_mil_organization	184	0	0
university_boat_race	place	184	0	0
curling_event	other	183	0	0
canadian_football_game	other	183	0	0
national_baseball_team	other	183	0	0
ligament	other	182	0	0
cvg	other	182	0	0
rugby_league_football_match	other	181	0	0
college_football_season	place	181	0	0
ncaa_baseball_tournament	other	181	0	0
spaceflight/instruments	other	180	0	0
haplogroup	other	180	0	0
national_sports_federations	other	180	0	0
scientist/wikidata	person	179	1	0
ncaa_softball_conference_tournament	other	179	0	0
network_service_provider	other	178	1	0
russian_town	place	177	0	0
pier	other	177	0	0
japanese_clan	pol_mil_organization	176	0	0
officeholder/office	person	175	1	1
clothing_type	other	175	0	0
emblem	other	174	1	1
operational_plan	other	174	1	0
national_badminton_team	other	174	0	0
character_encoding	other	173	0	0
district_de	other	173	0	0
geographical_indication	other	173	0	0
ncaa_ice_hockey_season	other	173	0	0
youtube_channel	other	172	1	0
german_district	other	172	0	0
sculpture	artifact	172	0	0
pinball	other	172	0	0
nuclear_weapons_test	event	171	0	0
six_nations_championship_2	other	171	0	0
