infobox_type	proposed_category	count	was_included	include_in_future
automobile_platform	artifact	29	0	0
university_rankings	place	29	0	0
national_olympic_committee	other	29	0	0
musician_awards	person	29	1	0
team_golf_tournament	other	29	0	0
shinto_shrine	place	29	1	1
weather_event/extratropical	event	29	0	0
pro_gaming_player	person	28	0	0
rugby_league_representative_team	other	28	0	0
top_level_domain	other	28	0	0
ethnonym	other	28	1	0
fbi_ten_most_wanted	other	28	0	0
pinball	other	28	0	0
coa_case	other	28	0	0
clothing_item	other	28	0	0
rugby_match	other	28	0	0
heat_event	other	28	0	0
le_mans_driver	other	27	1	0
programming_block	other	27	0	0
snooker_tournament	other	27	0	0
canadian_parliament	pol_mil_organization	27	0	0
meteorite	other	27	0	0
athletics_club	other	27	0	0
u.s._courts_of_appeals_case	other	27	0	0
toy	other	27	0	0
occupation	other	27	0	0
grape_variety	other	27	0	0
sports_club	other	27	0	0
theologian	person	27	1	0
